gene,log2FoldChange,padj,Athaliana_geneID,Gene_Function,VarYCRep.1,VarYCRep.2,VarYCRep.3,VarY1Rep.1,VarY1Rep.2,VarY1Rep.3
Soltu.DM.06G003930,1.751810278,5.91e-06,AT3G46640,Homeodomain-like superfamily protein,41.53951081,40.99031895,43.25291231,139.9679477,72.89338052,205.1147284
Soltu.DM.06G009180,1.710063519,3.34e-05,AT2G40080,Protein of unknown function (DUF1313),450.6407536,843.8351867,675.3524904,1653.453139,1520.756017,3263.879483
Soltu.DM.06G009240,1.438662388,2e-10,AT2G40080,Protein of unknown function (DUF1313),211.4738732,231.807321,223.8527918,618.7368156,523.1172014,662.997102
Soltu.DM.06G031660,1.427503834,8.22e-05,AT3G46640,Homeodomain-like superfamily protein,36.50441859,38.16340041,35.66468208,100.7245979,92.90332811,101.5214312
Soltu.DM.07G005750,1.077913474,0.000620077,AT2G06925,Phospholipase A2 family protein,459.452165,783.056438,811.9406345,1127.592252,1523.614581,1687.1895
Soltu.DM.07G010570,1.102614763,3.44e-07,AT4G13250,NAD(P)-binding Rossmann-fold superfamily protein,1875.571852,2924.447238,2480.592462,4902.802505,5604.214608,5126.486967
Soltu.DM.07G027060,-1.258720429,0.000176607,AT3G13110,serine acetyltransferase 2;2,3154.485275,3584.53272,2578.480632,1189.0735,1264.914544,1437.184343
Soltu.DM.08G000370,-1.406906607,0.000125579,AT1G12420,ACT domain repeat,191.3335043,155.4805202,134.3116751,69.32991802,70.03481658,44.89042878
Soltu.DM.09G002760,1.024185336,0.034006567,AT2G24280,alpha/beta-Hydrolases superfamily protein,144.7589013,261.4899657,172.2528262,370.1956,351.6033649,448.2136658
Soltu.DM.09G019250,4.647838957,0.013253815,AT3G63060,EID1-like,83.07902161,73.49988226,120.6528606,2406.925456,178.6602464,4368.874653
Soltu.DM.10G000080,-1.714071536,0.002405691,AT2G46830,Homeodomain-like superfamily protein,224.0616037,337.8167666,169.9763571,81.10292297,77.18122643,64.91846624
Soltu.DM.10G000080,-1.714071536,0.002405691,AT1G01060,circadian clock associated,224.0616037,337.8167666,169.9763571,81.10292297,77.18122643,64.91846624
Soltu.DM.10G000090,-1.414704686,0.00018529,AT1G01060,Homeodomain-like superfamily protein,2875.037657,3314.561998,2444.168957,1268.868311,1086.254298,884.6867579
Soltu.DM.10G015000,1.699877505,0.003589974,AT1G45249,abscisic acid responsive elements-binding factor,17.62282277,18.37497057,13.65881441,62.78935972,42.87845913,52.48727057
Soltu.DM.10G027790,-1.389108932,0.030843808,,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,4113.670343,4756.290458,3475.409445,2184.546474,1196.30901,1332.900424
Soltu.DM.12G023800,1.221988228,0.000232024,AT3G07650,CONSTANS-like,922.6806491,1167.517361,941.6993714,2800.667066,2039.585373,2229.327755
Soltu.DM.12G023800,1.221988228,0.000232024,AT3G07650,B-box type zinc finger protein with CCT domain,922.6806491,1167.517361,941.6993714,2800.667066,2039.585373,2229.327755
